,station,date_only,hour,pollutant,error_type
2527,londonrdaurn,2014/07/14,00,NOx,negative
2532,londonrdaurn,2014/07/14,01,NOx,negative
2534,londonrdaurn,2014/07/14,01,NOx,negative
2538,londonrdaurn,2014/07/14,01,NOx,negative
2541,londonrdaurn,2014/07/14,01,NOx,negative
2543,londonrdaurn,2014/07/14,02,NOx,negative
2550,londonrdaurn,2014/07/14,02,NOx,negative
2552,londonrdaurn,2014/07/14,02,NOx,negative
2556,londonrdaurn,2014/07/14,02,NOx,negative
31563,londonrdaurn,2014/10/13,01,NOx,negative
31564,londonrdaurn,2014/10/13,01,NOx,negative
31608,londonrdaurn,2014/10/13,01,NOx,negative
31651,londonrdaurn,2014/10/13,03,NOx,negative
31652,londonrdaurn,2014/10/13,03,NOx,negative
567,londonrdaurn,2014/07/11,12,NO,negative
569,londonrdaurn,2014/07/11,12,NO,negative
574,londonrdaurn,2014/07/11,13,NO,negative
579,londonrdaurn,2014/07/11,13,NO,negative
580,londonrdaurn,2014/07/11,13,NO,negative
589,londonrdaurn,2014/07/11,14,NO,negative
695,londonrdaurn,2014/07/08,13,NO,negative
705,londonrdaurn,2014/07/08,14,NO,negative
707,londonrdaurn,2014/07/08,14,NO,negative
712,londonrdaurn,2014/07/08,14,NO,negative
717,londonrdaurn,2014/07/08,15,NO,negative
718,londonrdaurn,2014/07/08,15,NO,negative
722,londonrdaurn,2014/07/08,15,NO,negative
730,londonrdaurn,2014/07/08,16,NO,negative
733,londonrdaurn,2014/07/08,16,NO,negative
736,londonrdaurn,2014/07/08,16,NO,negative
740,londonrdaurn,2014/07/08,16,NO,negative
748,londonrdaurn,2014/07/08,17,NO,negative
749,londonrdaurn,2014/07/08,17,NO,negative
752,londonrdaurn,2014/07/08,17,NO,negative
759,londonrdaurn,2014/07/08,18,NO,negative
762,londonrdaurn,2014/07/08,18,NO,negative
764,londonrdaurn,2014/07/08,18,NO,negative
768,londonrdaurn,2014/07/08,18,NO,negative
770,londonrdaurn,2014/07/08,19,NO,negative
776,londonrdaurn,2014/07/08,19,NO,negative
777,londonrdaurn,2014/07/08,19,NO,negative
783,londonrdaurn,2014/07/08,20,NO,negative
788,londonrdaurn,2014/07/08,20,NO,negative
791,londonrdaurn,2014/07/08,20,NO,negative
