,station,date_only,error_type
243,guildhall,2016/01/23,some_slots
244,londonrdaurn,2016/01/23,some_slots
245,londonrdenc,2016/01/23,some_slots
246,guildhall,2016/01/29,some_slots
247,londonrdaurn,2016/01/29,some_slots
248,londonrdenc,2016/01/29,some_slots
249,guildhall,2016/01/30,some_slots
250,londonrdaurn,2016/01/30,some_slots
251,londonrdenc,2016/01/30,some_slots
252,londonrdenc,2016/02/03,some_slots
253,londonrdenc,2016/04/27,some_slots
254,londonrdenc,2016/05/03,some_slots
255,guildhall,2016/10/30,some_slots
256,londonrdaurn,2016/10/30,some_slots
257,londonrdenc,2016/10/30,some_slots
258,windsorbridge,2016/10/30,some_slots
259,londonrdaurn,2016/11/05,some_slots
260,londonrdaurn,2016/11/06,all_day
261,guildhall,2016/11/07,some_slots
262,londonrdaurn,2016/11/07,all_day
263,londonrdenc,2016/11/07,some_slots
264,windsorbridge,2016/11/07,some_slots
